athlete_id,athlete_name,gender,age,country_code,country,continent,year,city,host_country,season,sport,event,medal
976,Anna Rodriguez,F,37,CUB,Cuba,North America,1932,Los Angeles,USA,Summer,Football,Football,Gold
977,Anna Clark,F,34,NZL,New Zealand,Oceania,1952,Oslo,Norway,Winter,Freestyle Skiing,Freestyle Skiing Team,Gold
978,Svetlana Garcia,F,30,COL,Colombia,South America,1900,Paris,France,Summer,Gymnastics,Team,Bronze
979,Chiara Baker,F,26,POR,Portugal,Europe,2000,Sydney,Australia,Summer,Athletics,3000m Steeplechase,Gold
980,Kwame Walker,M,33,USA,United States,North America,1936,Berlin,Germany,Summer,Swimming,200m Breaststroke,Gold
981,Sarah White,F,18,CUB,Cuba,North America,1968,Mexico City,Mexico,Summer,Shooting,25m Pistol,Gold
982,Chris Lopez,M,19,ETH,Ethiopia,Africa,1964,Innsbruck,Austria,Winter,Ski Jumping,Ski Jumping Downhill,Silver
983,Sven Davis,M,27,AZE,Azerbaijan,Europe,2010,Vancouver,Canada,Winter,Ski Jumping,Ski Jumping Mass Start,Silver
984,Fatima Baker,F,31,FIN,Finland,Europe,1980,Lake Placid,USA,Winter,Figure Skating,Figure Skating Slalom,Bronze
985,Darius Young,M,29,GRE,Greece,Europe,1972,Munich,Germany,Summer,Gymnastics,All-Around,Gold
986,Sven Taylor,M,36,SUI,Switzerland,Europe,1904,St. Louis,USA,Summer,Table Tennis,Team,Silver
987,Lisa Wright,F,29,ETH,Ethiopia,Africa,1984,Los Angeles,USA,Summer,Table Tennis,Singles,Silver
988,Jessica Brown,F,25,CUB,Cuba,North America,1928,Amsterdam,Netherlands,Summer,Wrestling,Greco-Roman 130kg,Bronze
989,Sven Baker,M,30,USA,United States,North America,1908,London,Great Britain,Summer,Swimming,4x100m Medley Relay,Silver
990,Marco King,M,19,ARG,Argentina,South America,1960,Squaw Valley,USA,Winter,Speed Skating,Speed Skating Team,Gold
991,Jessica King,F,26,USA,United States,North America,2016,Rio de Janeiro,Brazil,Summer,Boxing,75kg,Bronze
992,Thomas Miller,M,22,UKR,Ukraine,Europe,1972,Sapporo,Japan,Winter,Snowboard,Snowboard Mass Start,Bronze
993,Yuki Wilson,M,16,DEN,Denmark,Europe,1992,Albertville,France,Winter,Speed Skating,Speed Skating Team,Gold
994,Chiara Carter,F,37,SUI,Switzerland,Europe,1928,St. Moritz,Switzerland,Winter,Freestyle Skiing,Freestyle Skiing Slalom,Bronze
995,Katarina Hall,F,38,GRE,Greece,Europe,1980,Moscow,Russia,Summer,Judo,57kg,Silver
996,Peter Smith,M,38,USA,United States,North America,1912,Stockholm,Sweden,Summer,Wrestling,Freestyle 74kg,Gold
997,Darius Green,M,29,POR,Portugal,Europe,1976,Innsbruck,Austria,Winter,Freestyle Skiing,Freestyle Skiing Sprint,Gold
998,Anna Anderson,F,16,IND,India,Asia,1912,Stockholm,Sweden,Summer,Judo,78kg,Gold
999,Sofia Nelson,F,16,NGR,Nigeria,Africa,2010,Vancouver,Canada,Winter,Nordic Combined,Nordic Combined Slalom,Gold
1000,Anna Young,F,16,RUS,Russia,Europe,1932,Lake Placid,USA,Winter,Speed Skating,Speed Skating Downhill,Silver
1001,Mei Hall,F,17,SVK,Slovakia,Europe,2024,Paris,France,Summer,Badminton,Mixed Doubles,Silver
1002,Michael Young,M,32,SWE,Sweden,Europe,1980,Lake Placid,USA,Winter,Snowboard,Snowboard Slalom,Bronze
1003,Anna Lopez,F,31,KEN,Kenya,Africa,1956,Cortina,Italy,Winter,Curling,Curling Team,Bronze
1004,Elena Martinez,F,16,UZB,Uzbekistan,Asia,1998,Nagano,Japan,Winter,Bobsled,Bobsled Slalom,Bronze
1005,Steven Nelson,M,32,FIN,Finland,Europe,1932,Lake Placid,USA,Winter,Skeleton,Skeleton Super-G,Bronze
1006,Ingeborg Walker,F,39,JPN,Japan,Asia,1960,Rome,Italy,Summer,Canoe,Canoe Slalom,Silver
1007,Peter Martinez,M,35,IND,India,Asia,2022,Beijing,China,Winter,Freestyle Skiing,Freestyle Skiing Super-G,Bronze
1008,Thomas Carter,M,22,JPN,Japan,Asia,2010,Vancouver,Canada,Winter,Biathlon,Biathlon Slalom,Silver
1009,Alexei Brown,M,22,ZIM,Zimbabwe,Africa,1920,Antwerp,Belgium,Summer,Football,Football,Gold
1010,Ivan Williams,M,21,AZE,Azerbaijan,Europe,1960,Squaw Valley,USA,Winter,Speed Skating,Speed Skating Super-G,Gold
1011,Alexei Harris,M,19,GRE,Greece,Europe,1960,Rome,Italy,Summer,Football,Football,Silver
1012,Ingeborg Hill,F,20,GBR,Great Britain,Europe,1948,St. Moritz,Switzerland,Winter,Bobsled,Bobsled Super-G,Bronze
1013,Anna Davis,F,40,POL,Poland,Europe,2000,Sydney,Australia,Summer,Weightlifting,63kg,Bronze
1014,John Anderson,M,32,CZE,Czech Republic,Europe,1994,Lillehammer,Norway,Winter,Ski Jumping,Ski Jumping Team,Bronze
1015,Sofia Hill,F,38,CAN,Canada,North America,1924,Paris,France,Summer,Rowing,Eight,Silver
1016,Peter Hernandez,M,19,UKR,Ukraine,Europe,2008,Beijing,China,Summer,Weightlifting,69kg,Silver
1017,Claire Hill,F,26,CUB,Cuba,North America,2014,Sochi,Russia,Winter,Ski Jumping,Ski Jumping Individual,Gold
1018,Svetlana Martin,F,27,KAZ,Kazakhstan,Asia,1912,Stockholm,Sweden,Summer,Shooting,25m Rapid Fire Pistol,Gold
1019,Ahmed Allen,M,41,SWE,Sweden,Europe,2012,London,Great Britain,Summer,Table Tennis,Team,Silver
1020,Isabella Johnson,F,20,CHN,China,Asia,1976,Montreal,Canada,Summer,Table Tennis,Team,Bronze
1021,Ingrid Anderson,F,26,AUS,Australia,Oceania,2018,PyeongChang,South Korea,Winter,Curling,Curling Team,Silver
1022,James Scott,M,34,COL,Colombia,South America,1906,Athens,Greece,Summer,Basketball,Basketball,Silver
1023,Sarah Garcia,F,27,ZIM,Zimbabwe,Africa,1968,Grenoble,France,Winter,Luge,Luge Giant Slalom,Bronze
1024,Kwame Mitchell,M,33,FIN,Finland,Europe,1994,Lillehammer,Norway,Winter,Ice Hockey,Ice Hockey Downhill,Bronze
1025,Kim Robinson,F,40,POR,Portugal,Europe,1972,Sapporo,Japan,Winter,Nordic Combined,Nordic Combined Super-G,Gold
1026,Alexei Martinez,M,32,RSA,South Africa,Africa,1904,St. Louis,USA,Summer,Archery,Individual Compound,Gold
1027,Svetlana Anderson,F,40,MEX,Mexico,North America,1912,Stockholm,Sweden,Summer,Table Tennis,Team,Gold
1028,Lucia Hill,F,39,CUB,Cuba,North America,1900,Paris,France,Summer,Archery,Individual Compound,Gold
1029,Diego Wilson,M,17,AUS,Australia,Oceania,2008,Beijing,China,Summer,Swimming,200m Butterfly,Silver
1030,Chris Martinez,M,27,CUB,Cuba,North America,1956,Melbourne,Australia,Summer,Taekwondo,49kg,Bronze
1031,Carlos Scott,M,19,MEX,Mexico,North America,2016,Rio de Janeiro,Brazil,Summer,Taekwondo,68kg,Bronze
1032,Lars Young,M,20,SUI,Switzerland,Europe,1932,Lake Placid,USA,Winter,Cross-Country Skiing,Cross-Country Skiing Super-G,Silver
1033,Sofia Jones,F,22,JPN,Japan,Asia,1912,Stockholm,Sweden,Summer,Gymnastics,Floor Exercise,Silver
1034,Jessica Lopez,F,24,SVK,Slovakia,Europe,2002,Salt Lake City,USA,Winter,Curling,Curling Downhill,Bronze
1035,Maria Hill,F,21,NGR,Nigeria,Africa,1972,Munich,Germany,Summer,Tennis,Mixed Doubles,Gold
1036,Peter King,M,38,KAZ,Kazakhstan,Asia,1980,Moscow,Russia,Summer,Tennis,Singles,Silver
1037,Anna Lee,F,19,KAZ,Kazakhstan,Asia,1904,St. Louis,USA,Summer,Boxing,91kg,Bronze
1038,Chris Lee,M,27,KOR,South Korea,Asia,1952,Oslo,Norway,Winter,Skiing,Skiing Giant Slalom,Silver
1039,Mohammed Allen,M,41,KOR,South Korea,Asia,1952,Oslo,Norway,Winter,Skeleton,Skeleton Individual,Gold
1040,Alexei Lewis,M,19,RUS,Russia,Europe,1956,Melbourne,Australia,Summer,Judo,81kg,Gold
1041,Sofia Rodriguez,F,34,ROM,Romania,Europe,1904,St. Louis,USA,Summer,Football,Football,Silver
1042,Sofia Hernandez,F,40,JPN,Japan,Asia,1976,Innsbruck,Austria,Winter,Cross-Country Skiing,Cross-Country Skiing Sprint,Gold
1043,Yuna Hall,F,28,GRE,Greece,Europe,2008,Beijing,China,Summer,Fencing,Foil Individual,Silver
1044,Lars Smith,M,21,KEN,Kenya,Africa,1984,Sarajevo,Yugoslavia,Winter,Skiing,Skiing Slalom,Bronze
1045,Kwame Green,M,22,POR,Portugal,Europe,1996,Atlanta,USA,Summer,Judo,52kg,Bronze
1046,Sven Green,M,19,AUS,Australia,Oceania,2012,London,Great Britain,Summer,Swimming,4x100m Medley Relay,Gold
1047,Rebecca Carter,F,18,CUB,Cuba,North America,1900,Paris,France,Summer,Shooting,50m Rifle 3 Positions,Silver
1048,Elena Allen,F,29,CHN,China,Asia,1968,Mexico City,Mexico,Summer,Taekwondo,49kg,Gold
1049,John Green,M,19,BRA,Brazil,South America,1984,Los Angeles,USA,Summer,Fencing,Foil Team,Gold
1050,Chris Allen,M,20,BRA,Brazil,South America,1952,Oslo,Norway,Winter,Ice Hockey,Ice Hockey Sprint,Bronze
1051,James Robinson,M,38,NED,Netherlands,Europe,1928,St. Moritz,Switzerland,Winter,Skiing,Skiing Super-G,Silver
1052,Ingrid Wilson,F,24,BEL,Belgium,Europe,1920,Antwerp,Belgium,Summer,Fencing,Epee Individual,Gold
1053,Fatima Brown,F,19,NGR,Nigeria,Africa,1932,Lake Placid,USA,Winter,Figure Skating,Figure Skating Pursuit,Silver
1054,Lucia Harris,F,16,GER,Germany,Europe,1976,Montreal,Canada,Summer,Archery,Team Compound,Gold
1055,Mohammed Allen,M,25,CUB,Cuba,North America,1952,Helsinki,Finland,Summer,Archery,Individual Recurve,Silver
1056,Elena Martin,F,33,KOR,South Korea,Asia,1912,Stockholm,Sweden,Summer,Table Tennis,Singles,Bronze
1057,Kwame Martinez,M,30,GBR,Great Britain,Europe,1972,Munich,Germany,Summer,Archery,Team Compound,Bronze
1058,Fatima Walker,F,35,IND,India,Asia,1928,St. Moritz,Switzerland,Winter,Skiing,Skiing Individual,Silver
1059,Elena Green,F,17,SVK,Slovakia,Europe,2022,Beijing,China,Winter,Freestyle Skiing,Freestyle Skiing Pursuit,Bronze
1060,Alexei Garcia,M,39,JPN,Japan,Asia,1908,London,Great Britain,Summer,Judo,66kg,Silver
1061,Fatima Hernandez,F,36,AZE,Azerbaijan,Europe,1936,Berlin,Germany,Summer,Canoe,Canoe Slalom,Silver
1062,Nina Smith,F,35,NOR,Norway,Europe,1948,London,Great Britain,Summer,Fencing,Sabre Individual,Bronze
1063,Sarah Thomas,F,16,TUR,Turkey,Asia,1924,Chamonix,France,Winter,Freestyle Skiing,Freestyle Skiing Individual,Silver
1064,Darius Jones,M,41,IRN,Iran,Asia,1988,Seoul,South Korea,Summer,Badminton,Doubles,Bronze
1065,Lauren Lewis,F,28,ITA,Italy,Europe,1900,Paris,France,Summer,Tennis,Mixed Doubles,Silver
1066,Yuna Smith,F,16,HUN,Hungary,Europe,1932,Los Angeles,USA,Summer,Athletics,800m,Silver
1067,Darius Robinson,M,35,HUN,Hungary,Europe,2002,Salt Lake City,USA,Winter,Nordic Combined,Nordic Combined Super-G,Bronze
1068,Hans Carter,M,24,ESP,Spain,Europe,1936,Garmisch,Germany,Winter,Figure Skating,Figure Skating Slalom,Gold
1069,Aisha Lopez,F,34,ITA,Italy,Europe,1896,Athens,Greece,Summer,Rowing,Lightweight Double Sculls,Gold
1070,Robert Moore,M,39,GER,Germany,Europe,1988,Seoul,South Korea,Summer,Rowing,Quadruple Sculls,Silver
1071,Katarina Smith,F,22,MEX,Mexico,North America,1988,Calgary,Canada,Winter,Cross-Country Skiing,Cross-Country Skiing Pursuit,Bronze
1072,Lucia Brown,F,16,AZE,Azerbaijan,Europe,2002,Salt Lake City,USA,Winter,Curling,Curling Mass Start,Silver
1073,Olga Scott,F,31,ITA,Italy,Europe,1972,Munich,Germany,Summer,Football,Football,Gold
1074,Sofia Clark,F,33,KEN,Kenya,Africa,2008,Beijing,China,Summer,Cycling,Road Race,Gold
1075,Steven Young,M,39,AUS,Australia,Oceania,1968,Mexico City,Mexico,Summer,Rowing,Eight,Gold
1076,Svetlana Davis,F,18,UKR,Ukraine,Europe,1948,London,Great Britain,Summer,Rowing,Quadruple Sculls,Gold
1077,Yuna Davis,F,24,SVK,Slovakia,Europe,1976,Innsbruck,Austria,Winter,Luge,Luge Individual,Silver
1078,Diego Carter,M,18,UKR,Ukraine,Europe,1948,London,Great Britain,Summer,Fencing,Foil Individual,Bronze
1079,Anna Miller,F,34,AUT,Austria,Europe,1972,Sapporo,Japan,Winter,Ski Jumping,Ski Jumping Team,Gold
1080,David Brown,M,41,UZB,Uzbekistan,Asia,1904,St. Louis,USA,Summer,Basketball,3x3 Basketball,Silver
1081,James Adams,M,37,GER,Germany,Europe,1906,Athens,Greece,Summer,Judo,57kg,Gold
1082,Diego Allen,M,35,NZL,New Zealand,Oceania,1952,Oslo,Norway,Winter,Cross-Country Skiing,Cross-Country Skiing Downhill,Gold
1083,Lucia Mitchell,F,30,SUI,Switzerland,Europe,1992,Albertville,France,Winter,Ski Jumping,Ski Jumping Individual,Bronze
1084,Ivan Rodriguez,M,30,AZE,Azerbaijan,Europe,1920,Antwerp,Belgium,Summer,Fencing,Sabre Team,Bronze
1085,Peter Baker,M,34,USA,United States,North America,1932,Lake Placid,USA,Winter,Biathlon,Biathlon Team,Gold
1086,Chiara Mitchell,F,31,POL,Poland,Europe,1996,Atlanta,USA,Summer,Table Tennis,Team,Silver
1087,Chris Nelson,M,20,GBR,Great Britain,Europe,1932,Los Angeles,USA,Summer,Cycling,Sprint,Silver
1088,Hans Robinson,M,20,ZIM,Zimbabwe,Africa,1980,Lake Placid,USA,Winter,Freestyle Skiing,Freestyle Skiing Super-G,Bronze
1089,Steven Hill,M,17,MEX,Mexico,North America,1960,Rome,Italy,Summer,Judo,100kg,Bronze
1090,Robert Rodriguez,M,41,HUN,Hungary,Europe,2024,Paris,France,Summer,Swimming,400m Individual Medley,Gold
1091,Ingeborg Rodriguez,F,35,UZB,Uzbekistan,Asia,2000,Sydney,Australia,Summer,Badminton,Mixed Doubles,Bronze
1092,Anna King,F,21,BEL,Belgium,Europe,1988,Calgary,Canada,Winter,Bobsled,Bobsled Mass Start,Gold
1093,Steven King,M,38,AUT,Austria,Europe,1980,Moscow,Russia,Summer,Cycling,Road Race,Bronze
1094,Ingrid Thomas,F,22,UKR,Ukraine,Europe,1936,Berlin,Germany,Summer,Cycling,BMX Racing,Gold
1095,Pierre Jackson,M,25,ETH,Ethiopia,Africa,1964,Tokyo,Japan,Summer,Athletics,400m,Bronze
1096,Chris Thomas,M,22,CHN,China,Asia,1992,Barcelona,Spain,Summer,Volleyball,Volleyball,Gold
1097,Peter Smith,M,21,UKR,Ukraine,Europe,1948,St. Moritz,Switzerland,Winter,Nordic Combined,Nordic Combined Sprint,Gold
1098,Darius Wilson,M,28,CHN,China,Asia,2022,Beijing,China,Winter,Speed Skating,Speed Skating Team,Silver
1099,Kwame Young,M,32,RUS,Russia,Europe,1936,Berlin,Germany,Summer,Judo,48kg,Bronze
1100,Alexei Walker,M,22,JPN,Japan,Asia,1908,London,Great Britain,Summer,Weightlifting,69kg,Bronze
1101,Diego Mitchell,M,17,DEN,Denmark,Europe,1964,Tokyo,Japan,Summer,Fencing,Epee Team,Bronze
1102,Steven Brown,M,26,ETH,Ethiopia,Africa,1932,Lake Placid,USA,Winter,Cross-Country Skiing,Cross-Country Skiing Giant Slalom,Bronze
1103,Chiara Miller,F,22,ARG,Argentina,South America,2016,Rio de Janeiro,Brazil,Summer,Shooting,25m Pistol,Silver
1104,Svetlana Hill,F,40,CAN,Canada,North America,2016,Rio de Janeiro,Brazil,Summer,Canoe,Canoe Sprint,Silver
1105,Olga Scott,F,38,NED,Netherlands,Europe,1980,Moscow,Russia,Summer,Table Tennis,Team,Bronze
1106,Ingrid Nelson,F,34,IND,India,Asia,1976,Innsbruck,Austria,Winter,Nordic Combined,Nordic Combined Slalom,Bronze
1107,Ingrid White,F,23,HUN,Hungary,Europe,1904,St. Louis,USA,Summer,Rowing,Pair,Silver
1108,Lisa Moore,F,33,ESP,Spain,Europe,1972,Munich,Germany,Summer,Basketball,Basketball,Gold
1109,James King,M,34,POL,Poland,Europe,1952,Oslo,Norway,Winter,Skeleton,Skeleton Giant Slalom,Bronze
1110,Lucia Lee,F,29,FIN,Finland,Europe,1994,Lillehammer,Norway,Winter,Bobsled,Bobsled Downhill,Silver
1111,Steven Thompson,M,30,CHN,China,Asia,1956,Cortina,Italy,Winter,Speed Skating,Speed Skating Downhill,Bronze
1112,Mark Harris,M,41,ETH,Ethiopia,Africa,1908,London,Great Britain,Summer,Volleyball,Volleyball,Gold
1113,Carlos Thompson,M,37,USA,United States,North America,1924,Paris,France,Summer,Gymnastics,Horizontal Bar,Silver
1114,Lars Green,M,40,HUN,Hungary,Europe,2010,Vancouver,Canada,Winter,Cross-Country Skiing,Cross-Country Skiing Mass Start,Silver
1115,Isabella Johnson,F,34,NZL,New Zealand,Oceania,1896,Athens,Greece,Summer,Judo,90kg,Silver
1116,Marco White,M,23,NZL,New Zealand,Oceania,1998,Nagano,Japan,Winter,Curling,Curling Sprint,Silver
1117,Lisa Clark,F,26,SUI,Switzerland,Europe,1936,Garmisch,Germany,Winter,Curling,Curling Giant Slalom,Gold
1118,Sarah Lee,F,33,FIN,Finland,Europe,1972,Munich,Germany,Summer,Football,Football,Gold
1119,Sven Lewis,M,31,ZIM,Zimbabwe,Africa,1988,Calgary,Canada,Winter,Cross-Country Skiing,Cross-Country Skiing Sprint,Silver
1120,Isabella Green,F,40,AZE,Azerbaijan,Europe,1936,Garmisch,Germany,Winter,Luge,Luge Downhill,Silver
1121,David Rodriguez,M,20,ROM,Romania,Europe,1956,Cortina,Italy,Winter,Snowboard,Snowboard Individual,Bronze
1122,Robert Green,M,28,RSA,South Africa,Africa,1996,Atlanta,USA,Summer,Canoe,Canoe Slalom,Silver
1123,Claire Miller,F,36,UKR,Ukraine,Europe,1932,Lake Placid,USA,Winter,Skeleton,Skeleton Team,Gold
1124,Elena Jackson,F,16,GBR,Great Britain,Europe,1920,Antwerp,Belgium,Summer,Archery,Team Recurve,Gold
1125,Aisha Jones,F,37,SWE,Sweden,Europe,1964,Innsbruck,Austria,Winter,Speed Skating,Speed Skating Pursuit,Silver
1126,Ingrid Anderson,F,29,CAN,Canada,North America,1906,Athens,Greece,Summer,Volleyball,Volleyball,Gold
1127,Peter Moore,M,28,IND,India,Asia,1924,Chamonix,France,Winter,Curling,Curling Downhill,Gold
1128,Kim Hill,F,34,CAN,Canada,North America,1956,Melbourne,Australia,Summer,Football,Football,Bronze
1129,Pierre Jones,M,20,HUN,Hungary,Europe,2002,Salt Lake City,USA,Winter,Skeleton,Skeleton Mass Start,Silver
1130,Mei King,F,34,MEX,Mexico,North America,1992,Albertville,France,Winter,Ski Jumping,Ski Jumping Pursuit,Silver
1131,Ingeborg Robinson,F,27,ETH,Ethiopia,Africa,1988,Calgary,Canada,Winter,Skiing,Skiing Team,Silver
1132,Kwame Young,M,21,BEL,Belgium,Europe,1994,Lillehammer,Norway,Winter,Cross-Country Skiing,Cross-Country Skiing Sprint,Silver
1133,Lars Williams,M,28,UZB,Uzbekistan,Asia,1964,Innsbruck,Austria,Winter,Freestyle Skiing,Freestyle Skiing Sprint,Gold
1134,Marco White,M,38,ETH,Ethiopia,Africa,1928,St. Moritz,Switzerland,Winter,Speed Skating,Speed Skating Giant Slalom,Silver
1135,Isabella Davis,F,18,ITA,Italy,Europe,1968,Grenoble,France,Winter,Ski Jumping,Ski Jumping Giant Slalom,Bronze
1136,Fatima White,F,21,BEL,Belgium,Europe,2014,Sochi,Russia,Winter,Ski Jumping,Ski Jumping Super-G,Bronze
1137,Nina Hall,F,28,GER,Germany,Europe,1904,St. Louis,USA,Summer,Tennis,Singles,Gold
1138,Sven King,M,26,GBR,Great Britain,Europe,1968,Mexico City,Mexico,Summer,Swimming,50m Freestyle,Silver
1139,Mei Garcia,F,20,CUB,Cuba,North America,1976,Montreal,Canada,Summer,Gymnastics,Pommel Horse,Gold
1140,Chris Wilson,M,21,TUR,Turkey,Asia,1928,St. Moritz,Switzerland,Winter,Cross-Country Skiing,Cross-Country Skiing Individual,Bronze
1141,Mark Taylor,M,37,GER,Germany,Europe,2010,Vancouver,Canada,Winter,Luge,Luge Sprint,Silver
1142,Alexei White,M,37,KAZ,Kazakhstan,Asia,1960,Squaw Valley,USA,Winter,Ice Hockey,Ice Hockey Pursuit,Silver
1143,Lars Robinson,M,28,KAZ,Kazakhstan,Asia,2004,Athens,Greece,Summer,Swimming,4x100m Medley Relay,Silver
1144,Kim Martin,F,40,RUS,Russia,Europe,1906,Athens,Greece,Summer,Canoe,Canoe Sprint,Silver
1145,Sarah Rodriguez,F,16,CHN,China,Asia,1948,London,Great Britain,Summer,Rowing,Double Sculls,Gold
1146,Sven Anderson,M,41,SWE,Sweden,Europe,2002,Salt Lake City,USA,Winter,Freestyle Skiing,Freestyle Skiing Team,Bronze
1147,Carlos Adams,M,26,ARG,Argentina,South America,1928,St. Moritz,Switzerland,Winter,Skiing,Skiing Downhill,Bronze
1148,Anna Harris,F,29,IRN,Iran,Asia,1932,Lake Placid,USA,Winter,Snowboard,Snowboard Pursuit,Gold
1149,Darius Clark,M,28,NED,Netherlands,Europe,1920,Antwerp,Belgium,Summer,Volleyball,Beach Volleyball,Gold
1150,Mark Mitchell,M,37,SWE,Sweden,Europe,1964,Innsbruck,Austria,Winter,Figure Skating,Figure Skating Slalom,Silver
1151,Ingeborg Green,F,19,TUR,Turkey,Asia,1904,St. Louis,USA,Summer,Gymnastics,Vault,Bronze
1152,Ingeborg Walker,F,36,TUR,Turkey,Asia,1928,St. Moritz,Switzerland,Winter,Speed Skating,Speed Skating Team,Bronze
1153,Diego Clark,M,36,UKR,Ukraine,Europe,2014,Sochi,Russia,Winter,Nordic Combined,Nordic Combined Sprint,Bronze
1154,Aisha Harris,F,28,CHN,China,Asia,1976,Innsbruck,Austria,Winter,Biathlon,Biathlon Super-G,Bronze
1155,Steven Young,M,25,JAM,Jamaica,North America,1992,Barcelona,Spain,Summer,Athletics,Marathon,Gold
1156,Claire Jackson,F,31,JPN,Japan,Asia,1994,Lillehammer,Norway,Winter,Biathlon,Biathlon Individual,Gold
1157,Nina Moore,F,39,CUB,Cuba,North America,1964,Innsbruck,Austria,Winter,Figure Skating,Figure Skating Individual,Silver
1158,Claire Smith,F,36,MEX,Mexico,North America,1956,Cortina,Italy,Winter,Freestyle Skiing,Freestyle Skiing Individual,Gold
1159,James Martin,M,33,CUB,Cuba,North America,2024,Paris,France,Summer,Fencing,Sabre Individual,Bronze
1160,Sofia Johnson,F,21,MEX,Mexico,North America,2004,Athens,Greece,Summer,Cycling,Mountain Bike,Gold
1161,Robert Thomas,M,20,GBR,Great Britain,Europe,1980,Moscow,Russia,Summer,Gymnastics,Vault,Bronze
1162,Marco King,M,29,ARG,Argentina,South America,1988,Seoul,South Korea,Summer,Rowing,Pair,Silver
1163,Lauren Martin,F,21,CUB,Cuba,North America,1928,St. Moritz,Switzerland,Winter,Nordic Combined,Nordic Combined Pursuit,Silver
1164,Hans Miller,M,24,AUT,Austria,Europe,1952,Oslo,Norway,Winter,Snowboard,Snowboard Slalom,Silver
1165,Aisha Mitchell,F,29,IND,India,Asia,1968,Mexico City,Mexico,Summer,Basketball,Basketball,Bronze
1166,Chris Carter,M,40,RUS,Russia,Europe,1972,Munich,Germany,Summer,Wrestling,Greco-Roman 77kg,Bronze
1167,Claire King,F,30,BRA,Brazil,South America,1928,Amsterdam,Netherlands,Summer,Archery,Team Recurve,Silver
1168,Ingeborg Wright,F,20,GER,Germany,Europe,1964,Innsbruck,Austria,Winter,Curling,Curling Slalom,Gold
1169,Ingrid Allen,F,31,USA,United States,North America,1928,Amsterdam,Netherlands,Summer,Rowing,Single Sculls,Silver
1170,Jessica Jones,F,36,NGR,Nigeria,Africa,2010,Vancouver,Canada,Winter,Bobsled,Bobsled Downhill,Silver
1171,Ahmed Thompson,M,40,CAN,Canada,North America,1904,St. Louis,USA,Summer,Weightlifting,105kg,Bronze
1172,Emma Walker,F,38,AUT,Austria,Europe,1960,Squaw Valley,USA,Winter,Curling,Curling Slalom,Silver
1173,Darius Smith,M,27,IND,India,Asia,2010,Vancouver,Canada,Winter,Figure Skating,Figure Skating Pursuit,Bronze
1174,Steven Carter,M,24,AZE,Azerbaijan,Europe,2000,Sydney,Australia,Summer,Wrestling,Freestyle 97kg,Bronze
1175,Ingeborg Nelson,F,28,CUB,Cuba,North America,2000,Sydney,Australia,Summer,Boxing,49kg,Gold
1176,Ingeborg Robinson,F,24,CAN,Canada,North America,1984,Los Angeles,USA,Summer,Rowing,Lightweight Double Sculls,Bronze
1177,Lucia Miller,F,39,SVK,Slovakia,Europe,1984,Sarajevo,Yugoslavia,Winter,Freestyle Skiing,Freestyle Skiing Downhill,Gold
1178,Yuki Robinson,M,39,KEN,Kenya,Africa,1996,Atlanta,USA,Summer,Taekwondo,57kg,Gold
1179,Diego Allen,M,18,USA,United States,North America,1928,St. Moritz,Switzerland,Winter,Cross-Country Skiing,Cross-Country Skiing Slalom,Bronze
1180,Wei Thomas,M,21,DEN,Denmark,Europe,1968,Grenoble,France,Winter,Freestyle Skiing,Freestyle Skiing Mass Start,Bronze
1181,Mohammed White,M,30,NED,Netherlands,Europe,1924,Chamonix,France,Winter,Figure Skating,Figure Skating Slalom,Gold
1182,Sofia Mitchell,F,29,HUN,Hungary,Europe,1932,Lake Placid,USA,Winter,Skiing,Skiing Sprint,Gold
1183,Nina Smith,F,18,USA,United States,North America,1996,Atlanta,USA,Summer,Boxing,52kg,Bronze
1184,James Garcia,M,16,AZE,Azerbaijan,Europe,1948,London,Great Britain,Summer,Badminton,Doubles,Gold
1185,Kwame Scott,M,28,CHN,China,Asia,2000,Sydney,Australia,Summer,Taekwondo,49kg,Silver
1186,Olga Rodriguez,F,26,TUR,Turkey,Asia,1980,Moscow,Russia,Summer,Badminton,Doubles,Silver
1187,Lauren Brown,F,28,COL,Colombia,South America,2020,Tokyo,Japan,Summer,Cycling,Omnium,Silver
1188,Maria Smith,F,39,UZB,Uzbekistan,Asia,1960,Rome,Italy,Summer,Weightlifting,56kg,Bronze
1189,Pierre Mitchell,M,27,UZB,Uzbekistan,Asia,1924,Paris,France,Summer,Table Tennis,Team,Bronze
1190,Darius Clark,M,16,BEL,Belgium,Europe,2000,Sydney,Australia,Summer,Badminton,Mixed Doubles,Gold
1191,Lauren Lopez,F,23,JAM,Jamaica,North America,1996,Atlanta,USA,Summer,Volleyball,Volleyball,Silver
1192,Katarina Davis,F,31,POL,Poland,Europe,2010,Vancouver,Canada,Winter,Snowboard,Snowboard Team,Bronze
1193,Mohammed Hill,M,32,KAZ,Kazakhstan,Asia,1964,Innsbruck,Austria,Winter,Speed Skating,Speed Skating Pursuit,Gold
1194,Sofia Wilson,F,21,ZIM,Zimbabwe,Africa,1924,Chamonix,France,Winter,Skeleton,Skeleton Team,Silver
1195,Diego Miller,M,21,CUB,Cuba,North America,2000,Sydney,Australia,Summer,Archery,Team Recurve,Gold
1196,Fatima Harris,F,40,JAM,Jamaica,North America,1972,Munich,Germany,Summer,Athletics,5000m,Bronze
